date,name,unit,OT
2022-06-18 10:40:00,YC0052,m5Max,980
2022-06-18 10:55:00,YC0052,m5Max,868
2022-06-18 11:10:00,YC0052,m5Max,952
2022-06-18 11:25:00,YC0052,m5Max,924
2022-06-18 11:40:00,YC0052,m5Max,924
2022-06-18 11:55:00,YC0052,m5Max,812
2022-06-18 12:10:00,YC0052,m5Max,868
2022-06-18 12:25:00,YC0052,m5Max,952
2022-06-18 12:40:00,YC0052,m5Max,1036
2022-06-18 12:55:00,YC0052,m5Max,1036
2022-06-18 13:10:00,YC0052,m5Max,952
2022-06-18 13:25:00,YC0052,m5Max,1008
2022-06-18 13:40:00,YC0052,m5Max,952
2022-06-18 13:55:00,YC0052,m5Max,868
2022-06-18 14:10:00,YC0052,m5Max,672
2022-06-18 14:25:00,YC0052,m5Max,588
2022-06-18 14:40:00,YC0052,m5Max,532
2022-06-18 14:55:00,YC0052,m5Max,644
2022-06-18 15:10:00,YC0052,m5Max,728
2022-06-18 15:25:00,YC0052,m5Max,644
2022-06-18 15:40:00,YC0052,m5Max,672
2022-06-18 15:55:00,YC0052,m5Max,672
2022-06-18 16:10:00,YC0052,m5Max,644
2022-06-18 16:25:00,YC0052,m5Max,644
2022-06-18 16:40:00,YC0052,m5Max,672
2022-06-18 16:55:00,YC0052,m5Max,672
2022-06-18 17:10:00,YC0052,m5Max,644
2022-06-18 17:25:00,YC0052,m5Max,644
2022-06-18 17:40:00,YC0052,m5Max,644
2022-06-18 17:55:00,YC0052,m5Max,700
2022-06-18 18:10:00,YC0052,m5Max,644
2022-06-18 18:25:00,YC0052,m5Max,616
2022-06-18 18:40:00,YC0052,m5Max,616
2022-06-18 18:55:00,YC0052,m5Max,644
2022-06-18 19:10:00,YC0052,m5Max,644
2022-06-18 19:25:00,YC0052,m5Max,644
2022-06-18 19:40:00,YC0052,m5Max,616
2022-06-18 19:55:00,YC0052,m5Max,532
2022-06-18 20:10:00,YC0052,m5Max,476
2022-06-18 20:25:00,YC0052,m5Max,532
2022-06-18 20:40:00,YC0052,m5Max,616
2022-06-18 20:55:00,YC0052,m5Max,644
2022-06-18 21:10:00,YC0052,m5Max,700
